Departamento;fechaProduccion;Recurso_Natural;Cantidad_Produccion;
Norte de Santander;2022;CARBON;3280211;
Norte de Santander;2016;ARENAS SILICEAS;3269;
Norte de Santander;2012;GRAVAS DE RIO;183224;
Norte de Santander;2023;ARCILLAS MISCELANEAS;16885;
Norte de Santander;2018;ASFALTITA;4895;
Norte de Santander;2020;ARCILLAS CERAMICAS;9598;
Norte de Santander;2023;FELDESPATOS;420;
Norte de Santander;2013;ARCILLAS CAOLINITICA;375;
Norte de Santander;2020;ARCILLAS MISCELANEAS;25828;
Norte de Santander;2012;ARCILLAS;0;
Norte de Santander;2019;CARBON;2573283;
Norte de Santander;2014;CALIZAS;372667;
Norte de Santander;2022;ARCILLAS CERAMICAS;256705;
Norte de Santander;2021;CALIZAS;451405;
Norte de Santander;2013;GRAVAS;89403;
Norte de Santander;2013;CALIZAS;387631;
Norte de Santander;2012;ARENA DE RIO;15769;
Norte de Santander;2012;ARCILLAS CAOLINITICA;21;
Norte de Santander;2017;RECEBO;1329;
Norte de Santander;2015;ARCILLAS MISCELANEAS;194753;
Norte de Santander;2017;CARBON;2555945;
Norte de Santander;2015;ARCILLAS;214121;
Norte de Santander;2018;ROCA FOSFORICA;16225;
Norte de Santander;2016;ARENAS;13114;
Norte de Santander;2017;ARCILLAS MISCELANEAS;133012;
Norte de Santander;2013;ARENAS;0;
Norte de Santander;2022;CALIZAS;41577;
Norte de Santander;2012;GRAVAS;39731;
Norte de Santander;2019;FELDESPATOS;27463;
Norte de Santander;2015;CALIZAS;400612;
Norte de Santander;2016;ARENA DE RIO;9942;
Norte de Santander;2013;RECEBO;539825;
Norte de Santander;2021;ROCA FOSFORICA;15379;
Norte de Santander;2014;GRAVA DE CANTERA;450;
Norte de Santander;2019;ASFALTITA;2886;
Norte de Santander;2020;ROCA FOSFORICA;14187;
Norte de Santander;2017;ASFALTITA;3897;
Norte de Santander;2012;FELDESPATOS;12889;
Norte de Santander;2019;ARENAS;34474;
Norte de Santander;2020;CALIZAS;347362;
Norte de Santander;2015;CARBON;2219042;
Norte de Santander;2015;ROCA FOSFORICA;34913;
Norte de Santander;2014;ARCILLAS CAOLINITICA;21;
Norte de Santander;2020;FELDESPATOS;21729;
Norte de Santander;2012;ASFALTITA;51;
Norte de Santander;2018;ARCILLAS MISCELANEAS;293178;
Norte de Santander;2014;GRAVAS DE RIO;296199;
Norte de Santander;2019;ARCILLAS;0;
Norte de Santander;2021;ARCILLAS CERAMICAS;175427;
Norte de Santander;2023;CARBON;1300649;
Putumayo;2014;GRAVAS DE RIO;353272;
Putumayo;2015;ARCILLAS MISCELANEAS;115;
Putumayo;2015;ORO;37186;
Putumayo;2016;PLATA;6727;
Putumayo;2014;CALIZAS;979;
Putumayo;2020;ARENAS;1488;
Putumayo;2012;GRAVAS DE RIO;162037;
Putumayo;2019;PLATA;301;
Putumayo;2023;ARENAS;26019;
Putumayo;2015;GRAVAS DE RIO;269774;
Putumayo;2013;ARENA DE RIO;282315;
Putumayo;2018;RECEBO;310;
Putumayo;2019;GRAVAS;8387;
Putumayo;2012;CALIZAS;112;
Putumayo;2021;ARENAS;1653;
Putumayo;2022;ARENAS;8948;
Putumayo;2014;ARENA DE RIO;1102;
Putumayo;2022;GRAVAS;59429;
Putumayo;2014;GRAVAS;12696;
Putumayo;2016;GRAVAs DE RIO;161;
Putumayo;2017;RECEBO;800;
Putumayo;2013;ARCILLAS MISCELANEAS;1403;
Putumayo;2013;GRAVAS DE RIO;668484;
Putumayo;2016;RECEBO;5811;
Putumayo;2013;RECEBO;880;
Putumayo;2013;PLATA;181;
Putumayo;2018;CALIZAS;780;
Putumayo;2012;PLATA;18;
Putumayo;2016;ARCILLAS MISCELANEAS;1445;
Putumayo;2023;GRAVAS;32835;
Putumayo;2015;GRAVAs DE RIO;5625;
Putumayo;2021;RECEBO;22;
Putumayo;2015;ARCILLAS;104;
Putumayo;2019;ARENAS;6327;
Putumayo;2014;ORO;20866;
Putumayo;2016;ARENA DE RIO;33;
Putumayo;2021;GRAVAS;34914;
Putumayo;2020;RECEBO;4709;
Putumayo;2012;GRAVAS;199901;
Putumayo;2014;ARCILLAS;1661;
Putumayo;2019;ARENAS SILICEAS;520;
Putumayo;2014;ARENAS;105;
Putumayo;2013;CALIZAS;1287;
Putumayo;2015;ARENA DE RIO;200;
Putumayo;2017;ARENAS;515;
Putumayo;2016;ORO;68893;
Putumayo;2015;ARENAS;94;
Putumayo;2016;CALIZAS;778;
Putumayo;2013;GRAVAS;286523;
Putumayo;2019;RECEBO;102;
Putumayo;2018;ARENAS SILICEAS;50;
Putumayo;2015;GRAVAS;27276;
Putumayo;2020;GRAVAS;32036;
Putumayo;2015;CALIZAS;458;
Putumayo;2012;ORO;43879;
Putumayo;2018;ARENAS;8698;
Putumayo;2017;ORO;44936;
Putumayo;2016;GRAVAS;18447;
Putumayo;2017;CALIZAS;852;
Putumayo;2017;GRAVAS;140101;
Putumayo;2013;ORO;9538;
Putumayo;2015;GRAVA DE CANTERA;88175;
Putumayo;2012;ARENA DE RIO;25688;
Putumayo;2015;RECEBO;433;
Putumayo;2019;ORO;2652;
Putumayo;2018;GRAVAS;9387;
Putumayo;2016;GRAVAS DE RIO;14432;
Quindio;2019;ARENAS;13344;
Quindio;2012;ARENAS;12198;
Quindio;2016;RECEBO;20321;
Quindio;2013;ARCILLAS CERAMICAS;300;
Quindio;2014;ARCILLAS;2401;
Quindio;2022;GRAVAS;105141;
Quindio;2018;GRAVAS;212604;
Quindio;2017;ARCILLAS MISCELANEAS;1323;
Quindio;2013;ARCILLAS FERRUGINOSAS;1026;
Quindio;2016;ARCILLAS MISCELANEAS;15951;
Quindio;2012;ARCILLAS CERAMICAS;353;
Quindio;2015;GRAVA DE CANTERA;196365;
Quindio;2018;RECEBO;14162;
Quindio;2020;GRAVAS;116206;
Quindio;2021;GRAVAS;186366;
Quindio;2017;GRAVAS;282714;
Quindio;2014;GRAVAS;125;
Quindio;2013;GRAVAS;2723;
Quindio;2012;PLATA;2194;
Quindio;2014;GRAVA DE CANTERA;116412;
Quindio;2015;GRAVAS;280;
Quindio;2013;ARCILLAS MISCELANEAS;5599;
Quindio;2013;ORO;30867;
Quindio;2017;ARCILLAS;3124;
Quindio;2016;ORO;206;
Quindio;2016;GRAVAS DE RIO;198598;
Quindio;2022;ARENAS;21067;
Quindio;2023;ARENAS;14438;
Quindio;2015;ORO;83415;
Quindio;2015;ARENA DE RIO;389;
Quindio;2017;ARENAS;17582;
Quindio;2019;GRAVAS;123446;
Quindio;2023;GRAVAS;16041;
Quindio;2019;RECEBO;2272;
Quindio;2013;ARENA DE RIO;81201;
Quindio;2013;PLATINO;18;
Quindio;2019;ARCILLAS MISCELANEAS;328;
Quindio;2021;RECEBO;300;
Quindio;2012;RECEBO;42;
Quindio;2016;PLATA;32;
Quindio;2013;GRAVAS DE RIO;85478;
Quindio;2018;ARCILLAS MISCELANEAS;2773;
Quindio;2012;ORO;44699;
Quindio;2018;ARCILLAS;0;
Quindio;2013;ARENAS;3262;
Quindio;2014;ORO;31148;
Quindio;2012;GRAVAS;10203;
Quindio;2015;RECEBO;14265;
Quindio;2014;ARENA DE CANTERA;3203;
Quindio;2021;ARCILLAS MISCELANEAS;1904;
Quindio;2014;GRAVAS DE RIO;142052;
Quindio;2016;GRAVAS;206981;
Quindio;2017;RECEBO;1924;
Quindio;2012;ARENA DE RIO;1801;
Quindio;2015;GRAVAS DE RIO;97648;
Quindio;2018;ARENAS;29605;
Quindio;2012;GRAVAS DE RIO;15847;
Quindio;2015;ARCILLAS;5379;
Quindio;2020;ARENAS;35457;
Quindio;2015;GRAVAs DE RIO;11706;
Quindio;2014;ARENA DE RIO;9995;
Quindio;2022;ARCILLAS MISCELANEAS;1;
Quindio;2020;RECEBO;183;
Quindio;2013;RECEBO;2646;
Quindio;2012;ARCILLAS;0;
Quindio;2014;ARCILLAS MISCELANEAS;3705;
Quindio;2013;PLATA;172077;
Quindio;2013;GRAVA DE CANTERA;59059;
Quindio;2021;ARENAS;44046;
Quindio;2020;ARCILLAS MISCELANEAS;1644;
Risaralda;2013;RECEBO;185135;
Risaralda;2018;BASALTO;161813;
Risaralda;2017;GRAVAS;494003;
Risaralda;2021;GRAVAS;404865;
Risaralda;2021;PLATA;21921;
Risaralda;2017;ARCILLAS;11327;
Risaralda;2014;ARENAS;5973;
Risaralda;2019;MANGANESO;0;
Risaralda;2016;ARENA DE RIO;520;
Risaralda;2021;RECEBO;29373;
Risaralda;2014;MANGANESO;213;
Risaralda;2020;BASALTO;91129;
Risaralda;2023;GRAVAS;128876;
Risaralda;2013;PLATA;26246;
Risaralda;2019;ORO;179243;
Risaralda;2022;ORO;61809;
Risaralda;2013;ARENA DE RIO;4442;
Risaralda;2020;ORO;546192;
Risaralda;2023;ARENAS;2672;
Risaralda;2013;ARCILLAS MISCELANEAS;5795;
Risaralda;2015;ARCILLAS;23084;
Risaralda;2015;GRAVA DE CANTERA;78491;
Risaralda;2016;ARENAS;26279;
Risaralda;2013;ARENAS;1064;
Risaralda;2019;RECEBO;269575;
Risaralda;2016;ORO;299433;
Risaralda;2022;ARCILLAS MISCELANEAS;6144;
Risaralda;2012;RECEBO;189998;
Risaralda;2013;ORO;184282;
Risaralda;2018;ORO;188357;
Risaralda;2023;RECEBO;98098;
Risaralda;2019;ARENAS;111102;
Risaralda;2018;ARCILLAS MISCELANEAS;4349;
Risaralda;2021;ORO;15437;
Risaralda;2018;GRAVAS;283477;
Risaralda;2016;PLATA;32155;
Risaralda;2018;PLATA;28267;
Risaralda;2015;ARENAS;8343;
Risaralda;2014;ORO;255552;
Risaralda;2012;ORO;16342;
Risaralda;2015;RECEBO;218125;
Risaralda;2013;GRAVA DE CANTERA;35176;
Risaralda;2013;GRAVAS DE RIO;78314;
Risaralda;2019;GRAVAS;356565;
Risaralda;2020;ARCILLAS MISCELANEAS;15964;
Risaralda;2020;GRAVAS;17889;
Risaralda;2015;PLATA;14518;
Risaralda;2016;GRAVAS;230475;
Risaralda;2016;RECEBO;359322;
Risaralda;2019;BASALTO;179702;
Risaralda;2022;DIABASA;1205;
Risaralda;2014;PLATINO;645;
Risaralda;2014;GRAVAS;5495;
Risaralda;2022;RECEBO;232063;
Risaralda;2016;GRAVA DE CANTERA;69967;
Risaralda;2015;GRAVAs DE RIO;63;
Risaralda;2015;ARENA DE RIO;128;
Risaralda;2016;ARCILLAS MISCELANEAS;15394;
Risaralda;2014;ARCILLAS;18413;
Risaralda;2023;ORO;49048;
Risaralda;2020;PLATA;84553;
Risaralda;2014;GRAVAS DE RIO;95247;
Risaralda;2012;GRAVA DE CANTERA;159378;
Risaralda;2015;GRAVAS;98742;
Risaralda;2012;GRAVAS;6417;
Risaralda;2022;PLATA;3523;
Risaralda;2013;SERPENTINA (BLOQUE MENOR A 1 M3);61;
Risaralda;2017;PLATA;19714;
Risaralda;2023;ARCILLAS MISCELANEAS;841;
Risaralda;2020;RECEBO;229846;
Risaralda;2014;GRAVA DE CANTERA;82974;
Risaralda;2013;MANGANESO;183;
Risaralda;2012;ARENA DE RIO;7599;
Risaralda;2012;ARCILLAS MISCELANEAS;6354;
Risaralda;2021;ARCILLAS MISCELANEAS;10033;
Risaralda;2021;ARENAS;762;
Risaralda;2017;ARENAS;50512;
Risaralda;2017;ORO;205044;
Risaralda;2023;PLATA;1312;
Risaralda;2014;ARENA DE RIO;7538;
Risaralda;2017;BASALTO;39726;
Risaralda;2020;ARENAS;46575;
Risaralda;2017;RECEBO;414458;
Risaralda;2014;RECEBO;231781;
Risaralda;2012;MANGANESO;61;
Risaralda;2022;GRAVAS;27258;
Risaralda;2012;PLATA;12264;
Risaralda;2022;ARENAS;15644;
Risaralda;2019;ARCILLAS MISCELANEAS;20335;
Risaralda;2013;PLATINO;23;
Risaralda;2017;ARCILLAS MISCELANEAS;4867;
Risaralda;2018;ARENAS;78856;
Risaralda;2015;MANGANESO;88;
Risaralda;2015;PLATINO;95;
Risaralda;2012;GRAVAS DE RIO;14908;
Risaralda;2015;ORO;229905;
Risaralda;2014;PLATA;468;
Risaralda;2017;CUARZO;0;
Risaralda;2019;PLATA;23593;
Risaralda;2013;GRAVAS;51189;
Risaralda;2018;RECEBO;356453;
Santander;2018;ARENAS;231897;
Santander;2013;RECEBO;79023;
Santander;2014;MARMOL;235;
Santander;2015;CALIZAS;572314;
Santander;2020;CALIZAS;433203;
Santander;2017;ORO;77588;
Santander;2013;GRAVAS;76032;
Santander;2021;PLATA;6693;
Santander;2015;TRAVERTINO Y CALIZAS CRISTALINAS EN BLOQUE MAYOR O IGUAL A 1 M3;70;
Santander;2012;MARMOL;439;
Santander;2016;CUARZO;15;
Santander;2021;ARCILLAS CERAMICAS;9836;
Santander;2019;RECEBO;22323;
Santander;2016;MARMOL EN RAJÓN (RETAL DE MÁRMOL);0;
Santander;2022;BARITA;899;
Santander;2021;BARITA;1135;
Santander;2014;BARITA;3306;
Santander;2016;ARCILLAS CAOLINITICA;2051;
Santander;2018;YESO;393164;
Santander;2018;FLUORITA;46;
Santander;2022;ARCILLAS CAOLINITICA;7132;
Santander;2012;TRAVERTINO Y CALIZAS CRISTALINAS EN BLOQUE MAYOR O IGUAL A 1 M3;11;
Santander;2012;ARCILLAS MISCELANEAS;131544;
Santander;2017;MARMOL (BLOQUE MAYOR O IGUAL A 1 M3);63;
Santander;2014;ARENAS SILICEAS;4584;
Santander;2018;ORO;59021;
Santander;2015;YESO;445222;
Santander;2019;CUARZO;39;
Santander;2015;GRAVAS DE RIO;254642;
Santander;2015;ARCILLAS REFRACTARIAS;300;
Santander;2012;ARENAS;3603;
Santander;2013;COBRE;477;
Santander;2016;ARENA DE RIO;87169;
Santander;2018;PLATA;6244;
Santander;2012;GRAVA DE CANTERA;8456;
Santander;2012;CALIZAS;312917;
Santander;2015;GRAVAS;107304;
Santander;2022;ASFALTITA;1246;
Santander;2019;ARCILLAS;0;
Santander;2016;MARMOL (BLOQUE MAYOR O IGUAL A 1 M3);74;
Santander;2018;TRAVERTINO Y CALIZAS CRISTALINAS EN BLOQUE MAYOR O IGUAL A 1 M3;254;
Santander;2017;BARITA;795;
Santander;2020;ARENAS SILICEAS;5553;
Santander;2014;ORO;271642;
Santander;2013;ARENAS;2244;
Santander;2012;ORO;28912;
Santander;2021;PLOMO;0;
Santander;2020;PLATA;16382;
Santander;2017;SERPENTINA (BLOQUE MAYOR O IGUAL A 1 M3);629;
Santander;2019;ARENAS SILICEAS;7577;
Santander;2012;ARENAS SILICEAS;20086;
Santander;2021;YESO;401746;
Santander;2022;TRAVERTINO Y CALIZAS CRISTALINAS EN BLOQUE MAYOR O IGUAL A 1 M3;346;
Santander;2016;GRAVAS;440797;
Santander;2019;BARITA;1955;
Santander;2014;ASFALTITA;3062;
Santander;2019;GRAVAS;1265690;
Santander;2021;ARCILLAS MISCELANEAS;87612;
Santander;2013;PLATINO;341;
Santander;2014;CALIZAS;467929;
Santander;2015;ARCILLAS;111411;
Santander;2019;ORO;48914;
Santander;2013;MARMOL (BLOQUE MAYOR O IGUAL A 1 M3);260;
Santander;2022;ARCILLAS CERAMICAS;43468;
Santander;2012;RECEBO;174635;
Santander;2022;CUARZO;21;
Santander;2023;ARCILLAS MISCELANEAS;23992;
Santander;2016;GRAVAs DE RIO;70096;
Santander;2019;MARMOL EN RAJÓN (RETAL DE MÁRMOL);0;
Santander;2017;MARMOL EN RAJÓN (RETAL DE MÁRMOL);0;
Santander;2013;ARCILLAS MISCELANEAS;154295;
Santander;2021;GRAVAS;719193;
Santander;2017;ARENAS SILICEAS;494;
Santander;2023;ARCILLAS CAOLINITICA;7282;
Santander;2013;CUARZO;60;
Santander;2016;YESO;469394;
Santander;2016;ASFALTITA;606;
Santander;2021;TRAVERTINO Y CALIZAS CRISTALINAS EN BLOQUE MAYOR O IGUAL A 1 M3;133;
Santander;2014;FLUORITA;10;
Santander;2021;ORO;53045;
Santander;2022;ARCILLAS MISCELANEAS;83055;
Santander;2017;ARCILLAS CERAMICAS;18579;
Santander;2014;PLATA;24562;
Santander;2018;BARITA;2552;
Santander;2019;PLATA;3718;
Santander;2021;COBRE;0;
Santander;2017;YESO;405441;
Santander;2016;ARCILLAS MISCELANEAS;160814;
Santander;2013;CARBON;175057;
Santander;2020;YESO;32097;
Santander;2014;CUARZO;48;
Santander;2022;PLATA;13186;
Santander;2020;ARCILLAS CERAMICAS;18946;
Santander;2022;YESO;4746;
Santander;2023;CARBON;84992;
Santander;2012;ARCILLAS CERAMICAS;3022;
Santander;2019;PUZOLANAS;52304;
Santander;2021;ARENAS;271193;
Santander;2018;ASFALTITA;11;
Santander;2020;ARENAS;244344;
Santander;2020;ORO;82408;
Santander;2013;ARCILLAS;0;
Santander;2020;ARCILLAS CAOLINITICA;4491;
Santander;2017;ARCILLAS;125585;
Santander;2022;GRAVAS;510715;
Santander;2023;YESO;242977;
Santander;2018;MARMOL EN RAJÓN (RETAL DE MÁRMOL);0;
Santander;2015;GRAVAs DE RIO;379453;
Santander;2022;RECEBO;29194;
Santander;2013;TRAVERTINO Y CALIZAS CRISTALINAS EN BLOQUE MAYOR O IGUAL A 1 M3;88;
Santander;2018;CARBON;38874;
Santander;2017;ARCILLAS CAOLINITICA;213;
Santander;2023;PLATA;3712;
Santander;2022;CALIZAS;469274;
Santander;2022;ARCILLAS BENTONITICA;1244;
Santander;2021;ARENAS SILICEAS;4194;
Santander;2014;ARCILLAS CAOLINITICA;1236;
Santander;2016;PLATA;8829;
Santander;2017;ARCILLAS MISCELANEAS;69459;
Santander;2019;ARENAS;296895;
Santander;2019;CALIZAS;1028196;
Santander;2015;FLUORITA;47;
Santander;2020;ARCILLAS MISCELANEAS;102723;
Santander;2017;MARMOL EN RAJON (RETAL DE MÁRMOL);27;
Santander;2014;GRAVA DE CANTERA;25296;
Santander;2016;MARMOL (BLOQUE MENOR A 1 M3);99;
Santander;2015;ARCILLAS CERAMICAS;2219;
Santander;2013;YESO;294506;
Santander;2022;ARENAS SILICEAS;80;
Santander;2018;ARCILLAS CAOLINITICA;4332;
Santander;2021;CARBON;317019;
Santander;2023;CUARZO;44;
Santander;2021;CALIZAS;502681;
Santander;2017;CALIZAS;542478;
Santander;2013;GRAVAS DE RIO;1688843;
Santander;2017;TRAVERTINO Y CALIZAS CRISTALINAS EN BLOQUE MAYOR O IGUAL A 1 M3;20;
Santander;2023;ORO;35689;
Santander;2016;ARCILLAS CERAMICAS;14473;
Santander;2018;ARCILLAS MISCELANEAS;163357;
Santander;2016;TRAVERTINO Y CALIZAS CRISTALINAS EN BLOQUE MENOR A 1 M3;91;
Santander;2020;CARBON;110366;
Santander;2017;GRAVAS;1025985;
Santander;2015;ARENAS SILICEAS;813;
Santander;2015;MARMOL;20;
Santander;2017;TRAVERTINO Y CALIZAS CRISTALINAS EN BLOQUE MENOR A 1 M3;74;
Santander;2013;ORO;48862;
Santander;2016;MARMOL;52;
Santander;2012;YESO;451614;
Santander;2014;CARBON;58126;
Santander;2020;RECEBO;212923;
Santander;2012;GRAVAS DE RIO;2984883;
Santander;2015;GRAVA DE CANTERA;198423;
Santander;2015;CARBON;119938;
Santander;2021;MARMOL EN RAJÓN (RETAL DE MÁRMOL);0;
Santander;2012;ARCILLAS CAOLINITICA;743;
Santander;2016;CALIZAS;536402;
Santander;2013;MARMOL;452;
Santander;2019;TRAVERTINO Y CALIZAS CRISTALINAS EN BLOQUE MAYOR O IGUAL A 1 M3;116;
Santander;2017;PLATA;8423;
Santander;2019;ARCILLAS CAOLINITICA;11889;
Santander;2023;CALIZAS;152763;
Santander;2012;MARMOL (BLOQUE MAYOR O IGUAL A 1 M3);244;
Santander;2015;ARENA DE RIO;187465;
Santander;2018;GRAVAS;979944;
Santander;2016;GRAVAS DE RIO;153764;
Santander;2014;YESO;36045;
Santander;2017;CARBON;177991;
Santander;2015;ARENAS;30798;
Santander;2012;ROCA FOSFORICA;0;
Santander;2017;ASFALTITA;720;
Santander;2019;ARCILLAS CERAMICAS;39941;
Santander;2015;PLATA;10307;
Santander;2014;TRAVERTINO Y CALIZAS CRISTALINAS EN BLOQUE MAYOR O IGUAL A 1 M3;175;
Santander;2015;BARITA;3325;
Santander;2012;GRAVAS;422687;
Santander;2014;MARMOL (BLOQUE MENOR A 1 M3);125;
Santander;2018;CUARZO;425;
Santander;2015;MARMOL (BLOQUE MAYOR O IGUAL A 1 M3);83;
Santander;2019;ASFALTITA;209;
Santander;2019;CARBON;225511;
Santander;2017;CUARZO;1188;
Santander;2015;ARCILLAS CAOLINITICA;178;
Santander;2018;MARMOL EN RAJON (RETAL DE MÁRMOL);23;
Santander;2015;ARCILLAS MISCELANEAS;41975;
Santander;2016;ARCILLAS;16465;
Santander;2019;ARCILLAS MISCELANEAS;14784;
Santander;2018;ARCILLAS;0;
Santander;2016;BARITA;2343;
Santander;2014;MARMOL (BLOQUE MAYOR O IGUAL A 1 M3);98;
Santander;2023;GRAVAS;217393;
Santander;2012;CARBON;234818;
Santander;2015;ORO;87537;
Santander;2014;ARCILLAS CERAMICAS;22569;
Santander;2012;ARENA DE RIO;40413;
Santander;2013;ARCILLAS CAOLINITICA;745;
Santander;2013;FLUORITA;3;
Santander;2016;FLUORITA;75;
Santander;2013;ASFALTITA;1133;
Santander;2012;ARCILLAS;1168;
Santander;2020;BARITA;2006;
Santander;2013;ARCILLAS CERAMICAS;8004;
Santander;2014;ARENA DE RIO;112399;
Santander;2015;CUARZO;5692;
Santander;2018;RECEBO;436469;
Santander;2012;MARMOL (BLOQUE MENOR A 1 M3);164;
Santander;2016;ARENA DE CANTERA;117;
Santander;2019;YESO;292142;
Santander;2017;MARMOL (BLOQUE MENOR A 1 M3);86;
Santander;2020;ASFALTITA;165;
Santander;2016;ARENAS;105118;
Santander;2014;GRAVAS;179711;
Santander;2019;ROCA CORALINA (BLOQUE MENOR A 1 M3);98;
Santander;2016;TRAVERTINO Y CALIZAS CRISTALINAS EN BLOQUE MAYOR O IGUAL A 1 M3;665;
Santander;2013;BARITA;5143;
Santander;2018;MARMOL (BLOQUE MENOR A 1 M3);71;
Santander;2014;ARCILLAS MISCELANEAS;82545;
Santander;2014;GRAVAS DE RIO;536014;
Santander;2016;ORO;82856;
Santander;2014;RECEBO;628112;
Santander;2013;ARENAS SILICEAS;607;
Santander;2018;CALIZAS;499114;
Santander;2018;ARENAS SILICEAS;64;
Santander;2022;ARENAS;249037;
Santander;2012;BARITA;2357;
Santander;2012;PLATA;58744;
Santander;2017;ARENAS;181507;
Santander;2015;RECEBO;834429;
Santander;2023;ARENAS SILICEAS;18;
Santander;2016;CARBON;162425;
Santander;2013;CALIZAS;885611;
Santander;2022;ORO;48534;
Santander;2018;ARCILLAS CERAMICAS;21604;
Santander;2013;ARENA DE RIO;1138894;
Santander;2016;ARCILLAS REFRACTARIAS;300;
Santander;2020;GRAVAS;817854;
Santander;2018;MARMOL (BLOQUE MAYOR O IGUAL A 1 M3);185;
Santander;2016;GRAVA DE CANTERA;358;
Santander;2014;ARENAS;6477;
Santander;2012;MARMOL EN RAJÓN (RETAL DE MÁRMOL);0;
Santander;2013;MARMOL (BLOQUE MENOR A 1 M3);112;
Santander;2012;CUARZO;60;
Santander;2013;ARCILLAS FERRUGINOSAS;20962;
Santander;2023;ARENAS;171537;
Santander;2017;RECEBO;145586;
Santander;2013;GRAVA DE CANTERA;56141;
Santander;2015;COBRE;350;
Santander;2021;ASFALTITA;111;
Santander;2015;ARENA DE CANTERA;1399;
Santander;2022;COBRE;0;
Santander;2016;RECEBO;753528;
Santander;2013;PLATA;3231;
Santander;2018;TRAVERTINO Y CALIZAS CRISTALINAS EN BLOQUE MENOR A 1 M3;21;
Santander;2020;MARMOL EN RAJÓN (RETAL DE MÁRMOL);0;
Santander;2017;FLUORITA;57;
Santander;2021;ARCILLAS CAOLINITICA;2144;
Santander;2016;ARENAS SILICEAS;6659;
Santander;2014;COBRE;623;
Santander;2015;TRAVERTINO Y CALIZAS CRISTALINAS EN BLOQUE MENOR A 1 M3;131;
Santander;2021;RECEBO;213214;
Santander;2021;DIABASA;2132;
Santander;2014;ARENA DE CANTERA;1887;
Santander;2015;ASFALTITA;2187;
Santander;2022;CARBON;269964;
Santander;2013;ARENA DE CANTERA;213;
Santander;2015;MARMOL (BLOQUE MENOR A 1 M3);36;
Santander;2014;ARCILLAS;4314;
Sucre;2017;GRAVAS;9794;
Sucre;2022;ORO;49971;
Sucre;2012;ARENAS;0;
Sucre;2021;ORO;108539;
Sucre;2014;ARENA DE RIO;412;
Sucre;2021;ARENAS;3269;
Sucre;2021;GRAVAS;189579;
Sucre;2013;CALIZAS;923685;
Sucre;2018;ARCILLAS;0;
Sucre;2020;GRAVAS;263586;
Sucre;2017;RECEBO;41399;
Sucre;2020;CALIZAS;839113;
Sucre;2020;RECEBO;108509;
Sucre;2013;GRAVA DE CANTERA;46775;
Sucre;2023;PLATA;5971;
Sucre;2021;MARMOL EN RAJON (RETAL DE MÁRMOL);103;
Sucre;2021;PLATA;171;
Sucre;2013;ARCILLAS;0;
Sucre;2012;CALIZAS;263836;
Sucre;2014;GRAVAS DE RIO;34787;
Sucre;2015;CALIZAS;1315859;
Sucre;2014;RECEBO;1153;
Sucre;2019;RECEBO;71213;
Sucre;2020;ARENAS;4259;
Sucre;2023;CALIZAS;472907;
Sucre;2018;CALIZAS;722998;
Sucre;2012;ARCILLAS MISCELANEAS;22353;
Sucre;2014;ARCILLAS FERRUGINOSAS;1251;
Sucre;2022;CALIZAS;1355158;
Sucre;2016;ARCILLAS FERRUGINOSAS;2321;
Sucre;2016;ARENAS;3828;
Sucre;2014;CALIZAS;1012785;
Sucre;2016;ARENA DE RIO;600;
Sucre;2020;ARCILLAS MISCELANEAS;174567;
Sucre;2019;CALIZAS;824871;
Sucre;2015;ARCILLAS MISCELANEAS;838;
Sucre;2019;ARCILLAS;0;
Sucre;2014;GRAVAS;0;
Sucre;2016;CALIZAS;1569174;
Sucre;2015;GRAVA DE CANTERA;270102;
Sucre;2020;PLATA;8254;
Sucre;2015;ARCILLAS;216554;
Sucre;2017;CALIZAS;764035;
Sucre;2022;PLATA;6924;
Sucre;2022;ARCILLAS MISCELANEAS;97167;
Sucre;2013;ARCILLAS CERAMICAS;13685;
Sucre;2012;ARENA DE CANTERA;2107;
Sucre;2023;ARCILLAS MISCELANEAS;180373;
Sucre;2023;ORO;56793;
Sucre;2016;RECEBO;387361;
Sucre;2018;GRAVAS;26198;
Sucre;2021;ARCILLAS MISCELANEAS;177475;
Sucre;2017;ARCILLAS;8897;
Sucre;2014;ARCILLAS MISCELANEAS;31413;
Sucre;2015;ARENA DE RIO;244;
Sucre;2015;ARENA DE CANTERA;768;
Sucre;2019;ARCILLAS MISCELANEAS;214172;
Sucre;2014;ARCILLAS;204673;
Sucre;2017;ARENAS;8057;
Sucre;2021;CALIZAS;916295;
Sucre;2016;ARCILLAS;53463;
Sucre;2023;RECEBO;17092;
Sucre;2017;ARENAS SILICEAS;5205;
Sucre;2015;RECEBO;212512;
Sucre;2015;ARCILLAS FERRUGINOSAS;4662;
Sucre;2014;GRAVA DE CANTERA;252781;
Sucre;2012;RECEBO;8461;
Sucre;2013;ARENAS;2842;
Sucre;2013;GRAVAS;753;
Sucre;2013;ARENA DE CANTERA;576;
Sucre;2018;ARENAS SILICEAS;28099;
Sucre;2018;ARCILLAS MISCELANEAS;237806;
Sucre;2016;ARCILLAS MISCELANEAS;166065;
Sucre;2018;ARENAS;20669;
Sucre;2021;RECEBO;45548;
Sucre;2019;ARENAS;42197;
Sucre;2020;ORO;5332;
Sucre;2017;ARCILLAS MISCELANEAS;253813;
Sucre;2016;GRAVAS;40033;
Sucre;2013;ARENA DE RIO;712;
